values,ind
pin2,颦
wu4,鹜
ke1,窠
mo4,魩
"ti4,di4",鬄
hu3,虍
yao4,鹞
yu2,窬
jie4,魪
peng2,鬅
qian2,虔
jian1,鹣
xun1,窨
lao2,髝
xu1,驉
yuan1,鸢
mang2,駹
sao4,髞
hua2,驊
bao3,鸨
chi4,瘛
kun1,髠
bo1,驋
zhen4,鸩
mo4,瘼
"ti4,di2",髢
su4,驌
gu1,鸪
ban1,瘢
fang3,髣
xiao1,驍
dong1,鸫
ji2,瘠
xiu1,髤
lin2,驎
lu2,鸬
huang2,癀
ran2,髥
zhan4,驏
qu2,鸲
biao1,瘭
dan4,髧
dun1,驐
chi1,鸱
luo3,瘰
kun1,髨
liu2,驑
si1,鸶
ying3,瘿
bin4,髩
tuo2,驒
er2,鸸
zhai4,瘵
fa4,髪
ceng2,驓
zhi4,鸷
long2,癃
pi1,髬
dian4,驔
gua1,鸹
yin3,瘾
"fa5,fa4",髮
jiao1,驕
xiu1,鸺
chou1,瘳
"ti4,di4",髰
tie3,驖
luan2,鸾
ban1,癍
bao4,髱
yan4,驗
bo2,鹁
lai4,癞
bi4,髲
luo2,驘
li2,鹂
yi4,癔
qi2,騹
gu3,馉
quan1,駩
"zhi4,chi4",騺
zhen3,稹
shen1,駪
shuang1,騻
ji4,稷
jiong1,駫
lu4,騼
se4,穑
er3,駬
xi2,騽
nian2,黏
hai4,駭
luo2,騾
fu4,馥
bo2,駮
zhang1,騿
rang2,穰
zhu1,駯
"mo4,ma4",驀
gui1,皈
yin1,駰
"yao4,ao4",驁
jiao3,皎
"luo4,jia4",駱
can1,驂
hao4,皓
"piao4,biao1",驃
xi1,皙
dan4,駳
cong1,驄
po2,皤
hai4,駴
qu1,驅
die2,瓞
liu2,駵
bi4,驆
hu4,瓠
ju2,駶
zhi4,驇
yong3,甬
song3,駷
yu4,驈
jiu1,鸠
qin1,駸
yan4,饜
fu4,駙
mo2,饝
yang3,駚
chan2,饞
shi3,駛
xiang3,饟
bi4,駜
luo2,饠
tuo2,駝
zan4,饡
tuo2,駞
"nang3,nang2",饢
si4,駟
ding4,饤
liu2,駠
tuo1,饦
ma4,駡
duo4,饳
pian2,駢
"jia2,he2",饸
tao2,駣
zhi4,駤
xi1,饻
rong2,駥
dou4,饾
teng2,駦
jun4,馂
dong4,駧
guo3,馃
"xun1,xuan4",駨
san3,饊
kui4,饋
zhuan4,饌
shan4,饍
chi4,饎
dan4,饏
"yi4,ye1",饐
ji1,饑
rao2,饒
cheng1,饓
wei4,饖
xiang3,饗
zhan1,饘
fen1,饙
hai4,饚
meng2,饛
yi2,鸃
shi1,鶳
"lai4,chi4",鵣
"mie4,bi4",鴓
lun2,囵
yang2,徉
wu3,庑
chu4,憷
hu3,浒
qiao1,鍫
xia4,鎼
jiao1,鐎
ji1,鸄
he4,鶴
jiao3,鵤
fu2,鴔
hu2,囫
hou4,後
gui3,庋
lin3,懔
xun2,浔
sui1,濉
feng1,鎽
zun1,鐏
ze2,鸅
chu2,鶵
tuo2,鴕
ling2,囹
lai2,徕
pao2,庖
meng3,懵
ru4,洳
li3,澧
wen1,鎾
liao4,鐐
yu2,鸆
tang2,鶶
lu4,鵦
"wen2,min2",鴖
you4,囿
xi3,徙
xiu1,庥
tian3,忝
su4,涑
dan4,澹
na2,鎿
qie4,鐑
zhan1,鸇
xia2,鶷
ping2,鵧
li4,鴗
yu3,圄
chang2,徜
xiang2,庠
hui1,隳
wu2,浯
chan2,澶
lu3,鏀
lao2,鐒
ye4,鸈
ruo4,鶸
shu1,鵨
bian3,鴘
qing1,圊
huang2,徨
tuo3,庹
shuan1,闩
lai2,涞
