values,ind
hua2,骅
"zao3,qiao1",缲
cong1,枞
xuan4,楦
qiang1,戗
tun2,霕
yi4,靾
hui4,NA
yun3,齳
yan2,郔
shuo4,妁
pian2,骈
huan2,缳
xiao1,枭
mei2,楣
jia2,戛
ling2,霗
yao4,靿
ta4,NA
yan3,齴
cheng2,郕
fei1,妃
li2,骊
zuan3,缵
fang1,枋
ying2,楹
ji3,戟
dong4,霘
tao2,鞀
dou4,郖
yan2,妍
qi2,骐
yao1,幺
pa2,杷
zhen1,榛
ji2,戢
"ying1,yang1",霙
"bi4,bei4",鞁
e4,齶
lv3,郘
wu3,妩
ke4,骒
ji1,畿
zhu4,杼
fei3,榧
kan1,戡
"wu4,meng2",霚
jie1,鞂
wo4,齷
fu3,郙
yu4,妪
zhui1,骓
chuan1,巛
nai4,柰
ta4,榻
deng3,戥
ling2,霛
hong2,鞃
yi4,齸
"yu2,wu2",郚
bi3,妣
can1,骖
zai1,甾
zhi4,栉
sun3,榫
gai4,戤
ling2,霝
pao2,鞄
lou1,NA
lang2,郞
zhi4,骘
yong1,邕
zhe4,柘
xie4,榭
jian3,戬
hong2,霟
ze2,齚
yi1,黳
luo4,漯
lin2,遴
lei2,嫘
hui4,缋
zhang1,璋
que4,闋
"zhen4,chen2",陳
fou3,雬
"xie4,shi4",齛
mei2,黴
huan4,漶
ju4,遽
zhang1,嫜
si1,缌
pu2,璞
luo2,椤
"lu4,liu4",陸
"xi2,se4",雭
"zi1,chai2",齜
"zhan3,dan3",黵
lian4,潋
xie4,邂
xi1,嬉
"pian2,bian4",缏
can4,璨
chui2,棰
sheng1,陹
mu4,雮
chi1,齝
yan3,黶
zhu1,潴
miao3,邈
shan4,嬗
gou1,缑
qu2,璩
liang2,椋
fen1,雰
yan3,齞
du2,黷
yi1,漪
sui4,邃
bi4,嬖
zhui4,缒
lu4,璐
guo3,椁
yin1,陻
pang1,雱
zhou4,NA
ju3,齟
lu2,黸
lu4,漉
la1,邋
niao3,嬲
"min2,mian2",缗
bi4,璧
jian4,楗
"zhu3,du3",陼
yun2,雲
zhou4,NA
tiao2,齠
fen3,黺
xuan2,漩
ji4,彐
"mo2,mo5",嬷
jin4,缙
zan4,瓒
di4,棣
yang2,陽
chi4,雴
ling2,齡
"min3,meng3",黽
gan3,澉
hui4,彗
shuang1,孀
zhen3,缜
wen4,璺
ju1,椐
"reng2,er2",陾
yang1,雵
ling2,齢
yuan2,黿
shu4,澍
tuan4,彖
ga3,尕
ru4,缛
wei3,韪
cou4,楱
xia2,陿
chu1,齣
cu4,鼀
si1,澌
zhi4,彘
ga2,尜
gao3,缟
yun4,韫
"zhen1,shen4",椹
chong2,隀
"wu4,meng2",雺
wai1,NA
quan2,齤
qu4,鼁
shan1,潸
kao1,尻
fu2,孚
li2,缡
tao1,韬
nan2,楠
"yan4,yan3",隁
dian4,電
han3,NA
xie4,齥
"zhao1,chao2",鼂
shao4,潲
zhi3,咫
nu2,孥
yi4,缢
wu4,杌
zha1,楂
yin1,隂
dang4,雼
han3,NA
"yin2,ken3",齦
wa1,鼃
tong2,潼
ji1,屐
zi1,孳
jian1,缣
shao2,杓
lian4,楝
"yu2,shu4",隃
"hu4,hu1",雽
nie4,齧
zhu1,鼄
chan2,潺
e1,屙
jie2,孑
bin1,缤
qi3,杞
lan3,榄
di1,隄
diao4,雿
jiu4,齨
zhi1,鼅
lai4,濑
chan2,孱
jue2,孓
piao1,缥
cha1,杈
ji2,楫
wei1,隇
mu4,霂
zhou4,NA
yao3,齩
xi3,屣
bao1,孢
man4,缦
ma4,杩
pin3,榀
nie4,隉
chen2,霃
nong4,齈
tun1,黗
"yi4,yi1",鹥
shu4,沭
li4,溧
xiao1,逍
nu3,胬
ti2,绨
chang1,锠
"yan3,yan2",閻
"xing2,jing4",陘
nang4,齉
mo4,黙
huan2,鹮
long2,泷
ru4,溽
ti4,逖
ao3,媪
ling2,绫
chen1,琛
"yu4,e4",閼
chun2,陙
"qi2,ji4",齊
"qian2,jian1",黚
zhan1,鹯
lu2,泸
ta1,溻
qun1,逡
yuan2,媛
qi3,绮
ju1,琚
hun1,閽
"wu3,fu4",陚
zhai1,齋
"zhan1,dian3",點
meng2,鹲
yang1,泱
hun4,溷
kui2,逵
ting2,婷
fei1,绯
mao4,瑁
yu4,閾
xia2,陜
ji4,齌
yan3,黡
shuang1,鹴
si4,泗
bi4,滗
wei1,逶
wu4,婺
shang4,绱
yu2,瑜
wen2,閿
shan3,陝
zi1,齍
mei3,黣
lu3,鹵
tuo2,沲
xiu4,溴
huan4,逭
gou4,媾
gun3,绲
yuan4,瑗
"xiang4,hong4",闀
sheng1,陞
ji1,齎
yan3,黤
jin1,鹶
ling2,泠
fu3,滏
lu4,逯
mo2,嫫
duo3,缍
xia2,瑕
bao1,闁
"pu1,bu1",陠
ji1,齏
"yue4,ye4",黦
ling2,鹷
mao3,泖
tang2,溏
chuan2,遄
pi4,媲
shou4,绶
nao3,瑙
"xiang4,hong4",闂
zhen4,陣
chi3,齒
"tang3,dang3",黨
jian3,鹸
luo4,泺
pang1,滂
huang2,遑
ai4,嫒
liu3,绺
ai4,瑷
qu4,闃
chen4,齓
yan1,黫
"xian2,jian3",鹹
xuan4,泫
ming2,溟
qiu2,遒
pin2,嫔
quan3,绻
tang2,瑭
yao3,闄
dao3,陦
chen4,齔
"yan3,yan2",黬
cuo2,鹺
pan4,泮
huang2,潢
xia2,遐
chi1,媸
wan3,绾
jin3,瑾
wen2,闅
fei3,陫
he2,齕
yan3,黭
jian3,鹻
tuo2,沱
ying2,潆
ao2,遨
li2,嫠
zi1,缁
huang2,璜
ban3,闆
"yi4,yi3",陭
"ya4,ya2",齖
"zhen4,dan3",黮
jian3,鹼
hong2,泓
xiao1,潇
gou4,遘
yan1,嫣
ke4,缂
ying1,璎
"an4,an1",闇
dui4,陮
"yin3,yan3",齗
zhen3,黰
"yan4,yan2",鹽
min3,泯
lan3,漤
ta1,遢
qiang2,嫱
xiang1,缃
cui3,璀
wei2,闈
"lun4,lun2",陯
xie4,齘
dai4,黱
you1,麀
jing1,泾
cao2,漕
liu4,遛
piao2,嫖
ti2,缇
cong1,璁
yin1,闉
yin1,陰
bao1,齙
can3,黲
hu1,滹
xian1,暹
chang2,嫦
miao3,缈
xuan2,璇
kuo4,闊
ju1,陱
hun2,鼲
zou1,黀
xue2,鸴
zhe4,鷓
chu4,怵
qi4,汔
qiu1,湫
jian3,謇
pin1,姘
lian2,鐮
nie4,钀
kun3,閫
"xi2,ju2",鼳
nun2,黁
heng2,鸻
"ao4,ao2",鷔
peng1,怦
si4,汜
sou1,溲
zou3,辶
cha4,姹
yun2,纭
jue2,钁
"lang4,lang2",閬
yan3,鼴
fen2,黂
"zhou1,diao3",鸼
"yao3,xiao4",鷕
da2,怛
cha4,汊
huang2,湟
ya4,迓
li3,娌
pi1,纰
tang3,钂
lv2,閭
tu1,鼵
huang2,黃
wu2,鹀
"yi4,yi1",鷖
yang4,怏
feng1,沣
xu4,溆
wu3,迕
ping1,娉
shu1,纾
zhu2,钃
"ting3,ting2",閮
si1,鼶
jin1,黅
kun1,鹍
ou1,鷗
zuo4,怍
yuan2,沅
pen2,湓
jiong3,迥
wa1,娲
gan4,绀
lan2,钄
sha4,閯
xian4,鼸
guang1,黆
qian1,鹐
chi4,鷘
ni2,怩
mu4,沐
jian1,湔
ze2,迮
xian2,娴
xie4,绁
"xi4,sa4",钑
ju2,閰
lei2,鼺
tian1,黇
geng1,鹒
"zhi4,zhe2",鷙
fu2,怫
mian3,沔
xuan4,渲
yi3,迤
suo1,娑
fu2,绂
yang2,钖
yue4,閱
yao4,鼼
yuan1,鹓
liu4,鷚
chao1,怊
dun4,沌
wo4,渥
er3,迩
di4,娣
zhou4,绉
"xing2,jian1",钘
yue4,閲
"wu4,hui1",鼿
hua4,黊
su4,鹔
yong1,鷛
yi4,怿
mi4,汨
mei2,湄
jia1,迦
wei3,娓
fu2,绋
"pao2,bao2",铇
chan3,閳
"wu4,hui1",齀
kuang4,黋
"he4,he2",鹖
"lv3,lv2",鷜
yi2,怡
gu3,汩
yan4,滟
jing4,迳
e1,婀
chu4,绌
xing2,铏
qu4,閴
"ku4,hou1",齁
hong2,黌
qiu1,鹙
bi4,鷝
tong4,恸
bian4,汴
qin2,溱
dai4,迨
jing4,婧
dai4,绐
mang2,铓
lin4,閵
xie4,齂
chi1,黐
yi4,鹝
shuang1,鷞
yan1,恹
wen4,汶
ke4,溘
hou4,逅
biao3,婊
ku4,绔
"ya4,ya1",铔
"tang1,chang1",閶
"he4,e4",齃
hei1,黒
weng1,鹟
zhuo2,鷟
ce4,恻
hang4,沆
she4,滠
pang2,逄
jie2,婕
hang2,绗
zhi4,铚
sha1,閷
xiu4,齅
yi4,黓
liu2,鹠
yu2,鷠
kai3,恺
wei2,沩
mang3,漭
bu1,逋
chang1,娼
jiang4,绛
"xian1,gua1",铦
kun3,閸
weng4,齆
dan3,黕
ji2,鹡
wu2,鷡
xun2,恂
le4,泐
ying2,滢
li3,逦
bi4,婢
geng3,绠
"yu3,wu2",铻
yan1,閹
zha1,齇
xi4,黖
yi4,鹢
gan1,泔
pu3,溥
qiu2,逑
chan2,婵
xiao1,绡
"yi3,qi2",锜
wen2,閺
mian4,麫
lei3,鸓
yan4,鷃
jian1,鵳
niu3,狃
shu4,忄
yu4,阈
xi1,淅
hao4,灏
luo2,鏍
nou4,鐞
"yue4,yao4",鑰
fu1,麬
bu3,鸔
ji1,鷄
ju2,鵴
yun3,狁
dao1,忉
chang1,阊
song1,淞
ba4,灞
jin4,妗
"zan1,ti4",鐟
chan2,鑱
pao4,麭
lu2,鸕
li4,鷅
tu4,鵵
xia2,狎
cun3,忖
xi4,阋
du2,渎
bao3,宀
zi3,姊
pu3,鐠
"xiang1,rang2",鑲
qu4,麮
he4,鸖
tian2,鷆
ya1,鵶
pao2,狍
chan4,忏
wen2,阌
zhuo1,涿
gui3,宄
gui1,妫
"tie3,die2",鐡
jian4,鑳
qu1,麯
long2,鸗
kou4,鷇
yuan1,鵷
fei4,狒
wu3,怃
hun1,阍
pei4,淠
dang4,宕
niu1,妞
xi1,鑴
mou2,麰
shuang1,鸘
ti1,鷈
qi1,鵸
rong2,狨
zhi4,忮
"yan1,e4",阏
"sheng2,mian3",渑
mi4,宓
yu2,妤
cheng1,鐣
guan4,鑵
fu1,麱
yue4,鸙
"ti1,si1",鷉
li2,鵹
kuai4,狯
ou4,怄
qu4,阒
gan4,淦
you4,宥
si4,姒
ding3,鐤
cang2,鑶
xian4,麲
ying1,鸚
yi4,鷊
ye4,鵺
shou4,狩
chong1,忡
que4,阕
fei2,淝
chen2,宸
da2,妲
shan4,鐥
nie4,鑷
lai2,麳
"huan1,guan4",鸛
tu2,鷋
zhui1,鵻
sun1,狲
wu3,忤
he2,阖
cong2,淙
"ning4,ning2",甯
zhou2,妯
kai1,鐦
lei3,鑸
mian4,麵
qu2,鸜
ma3,鷌
kong1,鵼
bi4,狴
kai4,忾
tian2,阗
shen3,渖
qian1,骞
shan1,姗
"jian4,jian1",鐧
"cuan4,cuan1",鑹
chi1,麶
li2,鸝
xiao1,鷍
duo4,鵽
juan4,狷
chang4,怅
que4,阙
guan4,涫
qian1,搴
qie4,妾
fei4,鐨
qu2,鑺
feng1,麷
luan2,鸞
gao1,鷎
kun1,鵾
li4,猁
chuang4,怆
kan4,阚
lu4,渌
wu4,寤
ya4,娅
sui4,鐩
pan4,鑻
qu1,麹
shi1,鸤
tian2,鷏
sheng1,鵿
yu2,狳
song1,忪
jiang4,丬
shuan4,涮
liao2,寮
rao2,娆
lu3,鐪
luo2,鑼
mian4,麺
"qiang1,cang1",鸧
chen2,鷐
qi2,鶀
xian3,猃
bian4,忭
pan2,爿
xie4,渫
qian1,褰
shu1,姝
juan1,鐫
"zuan4,zuan1",鑽
"mo2,me5",麼
xiao1,鸮
ji2,鷑
jing1,鶁
yin2,狺
niu3,忸
qiang1,戕
yan1,湮
huan2,寰
luan2,娈
hui4,鐬
luan2,鑾
ling2,鸰
tuan2,鷒
hu4,怙
san1,氵
mian3,湎
jian3,蹇
jiao1,姣
yu4,鐭
"zuo4,zao2",鑿
"zhan4,die2",跕
bi4,赑
jian4,賎
di2,豴
luan2,滦
lin1,拎
li3,鲤
mei3,美
mo4,陌
qi2,艩
chen2,茞
mu4,莯
"pan2,ban4",跘
zhou1,赒
ying1,賏
zong1,豵
luan3,卵
ling2,玲
li3,礼
mei4,昧
mou2,谋
ning3,拧
yu4,茟
"tu4,tu2",莵
"qu1,ju4",跙
feng4,赗
xun4,賐
fen2,豶
luan4,乱
ling2,菱
li4,莉
mei4,寐
mou2,牟
ning4,泞
"xiu1,hao1",茠
ni2,跜
"yun1,bin1",赟
zhen4,賑
yi4,豷
lve3,掠
ling2,零
li4,荔
mei4,妹
mou3,某
niu2,牛
zi4,茡
mang3,莾
yi2,跠
xi1,赥
she1,賒
an4,豻
lve4,略
ling2,龄
li4,吏
mei4,媚
mu3,拇
niu3,扭
lie4,茢
ci4,莿
ji4,跡
"xiong2,tong2",赨
bin1,賓
pi2,豼
lun1,抡
ling2,铃
li4,栗
men2,门
mu3,牡
niu3,钮
wu2,茣
di4,菂
"duo4,dai4",跢
xi4,赩
bin1,賔
na4,豽
lun2,轮
ling2,伶
li4,丽
men4,闷
mu3,亩
niu3,纽
"ji4,duo1",茤
qu2,菃
duo4,跥
cheng1,赪
qiu2,賕
pi1,豾
lun2,伦
ling2,羚
li4,厉
men5,们
mu3,姆
nong2,脓
"gui4,gui1",茥
dong1,菄
"zhu1,chu2",跦
cheng1,赬
she1,賖
gou3,豿
lun2,仑
ling2,凌
li4,励
meng2,萌
mu3,母
nong2,浓
ci4,茦
"zou1,cuan2",菆
quan2,跧
xia2,赮
chuan4,賗
"na4,duo4",貀
lun2,沦
ling2,灵
li4,砾
meng2,蒙
mu4,墓
nong2,农
gou4,茩
la1,菈
"zhuai3,shi4",跩
tang2,赯
zang1,賘
you4,貁
lun2,纶
ling2,陵
li4,历
meng2,檬
mu4,暮
nong4,弄
guang1,茪
lu4,菉
xiang2,跭
zou3,赱
zhou1,賙
mo4,貃
lun4,论
ling3,岭
li4,利
meng2,盟
mu4,幕
nu2,奴
"niao3,jiao1",茮
wei4,菋
"die2,chi4",跮
li4,赲
lai4,賚
si4,貄
luo2,萝
ling3,领
li4,傈
meng3,锰
mu4,募
nu3,努
yu2,茰
"ren3,nie4",菍
"pian2,beng4",跰
shan4,赸
zan4,賛
"huan2,huan1",貆
luo2,螺
ling4,另
li4,例
meng3,猛
mu4,慕
nu4,怒
"zi1,ci2",茲
kun1,菎
zhi4,跱
qiong2,赹
ci4,賜
"kun1,ken3",貇
luo2,罗
ling4,令
li4,俐
meng4,梦
mu4,木
nv3,女
"pei4,fa2",茷
"jie2,jia2",跲
"yin3,qin3",赺
chen1,賝
luo2,逻
liu1,溜
meng4,孟
mu4,目
nuan3,暖
"mu3,mang3",茻
"zi1,zai1",菑
wan4,贎
chi2,貾
e4,豟
"zhou1,chou2",譸
lv3,吕
lie4,列
lei4,类
mao4,冒
bang4,艕
mei2,苺
zao4,唣
ying2,贏
mao4,貿
chu2,豠
hao2,譹
lv3,铝
lie4,裂
lei4,泪
mao4,帽
mo2,摹
cha1,艖
"sheng1,rui2",苼
xi1,唏
jin4,贐
he4,賀
jian1,豣
"yi2,ai4",譺
lv3,侣
lie4,烈
leng2,棱
mao4,貌
mo2,蘑
yi4,艗
"gua1,gu1",苽
zuo4,唑
"gong4,gan4",贑
"bi4,ben1",賁
"kun1,ken3",豤
ying1,譻
lv3,旅
lie4,劣
leng5,楞
mao4,贸
mo2,模
cang1,艙
"bie2,bi4",苾
ji1,唧
xian2,贒
lu4,賂
gai1,豥
"jian4,jian1",譼
lv3,履
lie4,猎
leng3,冷
me5,么
mo2,膜
lou2,艛
wei4,苿
feng3,唪
zang1,贓
lin4,賃
ju4,豦
yu4,譽
lv3,屡
lin2,琳
li2,厘
mei2,玫
mo2,磨
dai4,艜
"fu2,bo2",茀
ze2,啧
bi4,贔
hui4,賄
"fu4,fu1",豧
jian3,譾
"lv3,lv5",缕
lin2,林
li2,梨
mei2,枚
mo2,摩
zi1,茊
nuo4,喏
du2,贕
gai1,賅
xi1,豨
hui4,譿
lv4,虑
lin2,磷
li2,犁
mei2,梅
mo2,魔
"yao4,tiao4",艞
zhi3,茋
miao1,喵
shu2,贖
pian2,賆
"huan1,bin1",豩
"du2,dou4",讀
lv4,氯
lin2,霖
li2,黎
mei2,酶
"mo4,mo3",抹
deng1,艠
ji4,茍
lin2,啉
yan4,贗
zi1,資
zhu1,豬
zhe2,讁
lv4,律
lin2,临
li2,篱
mei2,霉
mo4,末
dang1,艡
cong1,茐
zhuan4,啭
shang3,贘
"jia3,gu3",賈
jia1,豭
juan4,讂
lv4,率
lin2,邻
li2,狸
mei2,煤
mo4,莫
qiang2,艢
yuan4,茒
"zhou1,zhao1",啁
xuan4,贙
xu4,賉
fen2,豮
zan4,讃
lv4,滤
lin2,鳞
li2,离
mei2,没
mo4,墨
lu3,艣
xue2,茓
tao2,啕
long4,贚
zei2,賊
xi1,豯
lei3,讄
lv4,绿
lin2,淋
li2,漓
mei2,眉
mo4,默
yi3,艤
"luo4,ge2",茖
hu1,唿
"gong4,gan4",贛
jiao3,賋
"hu4,bo2",豰
shen3,讅
luan2,峦
lin3,凛
li3,理
mei2,媒
mo4,沫
ji2,艥
li4,茘
cui4,啐
zang1,贜
gai1,賌
wen1,豱
wei4,讆
luan2,挛
lin4,赁
li3,李
mei3,镁
mo4,漠
jian4,艦
rong2,茙
sha4,唼
"yun4,yuan2",贠
zang1,賍
huan2,豲
luan2,孪
lin4,吝
li3,里
mei3,每
mo4,寞
"wo4,huo4",艧
"zhi3,chai3",茝
er4,貮
"bian3,bi1",豍
"zhan4,lian2",譧
"ti2,si1",謕
lu3,掳
liang4,晾
lao3,佬
"biao4,biao1",脿
zhua1,膼
fu2,艀
bing4,摒
kuai4,哙
zhu4,貯
shu4,豎
su4,謖
lu3,卤
liang4,亮
"lao3,lao5",姥
man4,谩
dan3,膽
zao4,艁
kui2,揆
duo3,哚
shi4,貰
xian4,豏
yi1,譩
bang4,謗
lu3,虏
liang4,谅
lao4,酪
mang2,芒
kuai4,膾
feng2,艂
yuan4,掾
"jie1,ji4",哜
bi4,貱
feng1,豐
ai3,譪
chi2,謘
lu3,鲁
liao2,撩
lao4,烙
mang2,茫
nong2,膿
li2,艃
shu1,摅
mie1,咩
zi1,貲
zhi4,豑
zhan1,譫
qian1,謙
lu4,麓
liao2,聊
lao4,涝
mang2,盲
"jue2,ju1",臄
yu2,艅
en4,摁
mi1,咪
er4,貳
zhi4,豒
hui3,譭
shi4,謚
lu4,碌
liao2,僚
le4,勒
mang2,氓
chu4,臅
lang2,艆
chuai1,搋
zha4,咤
gui4,貴
yan4,豓
"hui4,hua4",譮
jiang3,講
lu4,露
liao2,疗
"yue4,le4",乐
mang2,忙
juan3,臇
yu4,艈
jian1,搛
"nong2,nong5",哝
pian3,貵
yan4,豔
yi4,譯
yuan2,謜
lu4,路
liao2,燎
lei2,雷
mang3,莽
"la4,ge2",臈
bo2,艊
shuo4,搠
gen2,哏
"fa2,bian3",貶
chu4,豖
yi4,議
xie4,謝
lu4,赂
liao2,寥
lei2,镭
mao1,猫
lian3,臉
"qian4,nian4",艌
zhan3,搌
mou1,哞
mai3,買
hui1,豗
shan4,譱
"xiao1,he4",謞
lu4,鹿
liao2,辽
lei3,蕾
mao2,茅
tun2,臋
ju1,艍
nuo4,搦
mai4,唛
"te4,dai4",貸
tun2,豘
rang4,譲
tao1,謟
lu4,潞
liao2,潦
lei3,磊
mao2,锚
qi2,臍
huang2,艎
sang3,搡
chi1,哧
sheng4,貹
yi4,豙
nou4,譳
yao2,謠
lu4,禄
"le5,liao3",了
"lei2,lei4",累
mao2,毛
cui4,臎
zong1,艐
luo4,摞
lao4,唠
kuang4,貺
yi4,豛
qian3,譴
yao2,謡
lu4,录
liao4,撂
lei3,儡
mao2,矛
bin4,臏
bian4,艑
ying1,撄
geng3,哽
"fu2,fei4",費
jian1,豜
dui4,譵
lu1,謢
lu4,陆
liao4,镣
lei3,垒
mao3,铆
xun1,臐
"mu4,mo4",艒
zhi2,摭
en2,唔
tie1,貼
ba1,豝
ta4,譶
"yu2,xu1",謣
lu4,戮
liao4,廖
lei4,擂
mao3,卯
"ru2,nao4",臑
die2,艓
han4,撖
zha1,哳
yi2,貽
hou4,豞
hu4,護
lv2,驴
liao4,料
lei4,肋
mao4,茂
"yue4,wo4",臒
dao4,艔
suo3,唢
ji2,蒺
qian1,谸
zen4,譖
teng2,謄
cong2,誴
"ting5,ting1",聽
lian2,涟
lan3,览
"ji2,cu4",脨
"tong2,chuang2",膧
na4,捺
si1,咝
li2,蓠
hong2,谹
zha2,譗
"zhou1,chou1",謅
xiao2,誵
long2,隆
lian2,帘
lan3,懒
"you3,xiao1",脩
ni4,膩
ji3,掎
kuang1,哐
pang2,蒡
xia1,谺
"zhi4,shi2",識
shan4,謆
sui4,誶
long3,垄
lian3,敛
lan3,缆
"xin4,chi1",脪
"liao3,liao2",膫
guo2,掴
ji1,咭
jian1,蒹
ji2,谻
"qiao4,qiao2",譙
"po2,pao2",謈
wang3,誷
long3,拢
lian3,脸
lan4,烂
tuo1,脫
cui4,膬
bai3,捭
shen3,哂
shuo4,蒴
hong2,谼
tan2,譚
xian2,誸
long3,陇
lian4,链
lan4,滥
cheng2,脭
"kui4,gui1",膭
ju1,掬
hui1,咴
lang4,蒗
han1,谽
zen4,譛
huang3,謊
fei3,誹
lou2,楼
lian4,恋
lang2,琅
"tui3,nei3",脮
xiao1,膮
"pou3,pou2",掊
da1,哒
ying2,蓥
"long2,hong1",谾
pu3,譜
huo4,謋
"lai4,chi1",誺
lou2,娄
lian4,炼
lang2,榔
dou4,脰
"tun2,teng1",膯
lie4,捩
lie3,咧
yu4,蓣
"xi1,ji1",谿
sheng2,譝
ge1,謌
ta4,誻
lou3,搂
lian4,练
lang2,狼
"pan2,fan2",膰
qian2,掮
yi2,咦
su4,蔌
xi1,豀
xuan1,譞
"ying2,ying1",謍
yi4,誼
lou3,篓
liang2,粮
lang2,廊
pi3,脴
zhi2,膱
guan4,掼
xiao1,哓
meng2,甍
liao2,豂
zao4,譟
"mi2,mei4",謎
"ni4,na2",誽
lou4,漏
liang2,凉
lang2,郎
jiao1,膲
"she2,die2",揲
bi4,哔
dou1,蔸
"han3,gan3",豃
tan2,譠
xiao3,謏
yin2,誾
lou4,陋
liang2,梁
lang3,朗
li4,脷
"wu3,hu1",膴
zha1,揸
ci1,呲
xi3,蓰
du2,豄
"dang4,dang3",譡
mi4,謐
"tiao4,diao4",調
lu2,芦
liang2,粱
lang4,浪
"zhang4,chang2",脹
cui4,膵
ya4,揠
guang1,咣
lian3,蔹
"long4,long2",豅
sui4,譢
"xia4,xi3",謑
pi3,諀
lu2,卢
liang2,良
lao1,捞
"sui4,cui4",脺
yin2,膶
qin4,揿
"yue5,hui4",哕
cu4,蔟
qi3,豈
xian1,譣
qiang1,謒
zhuo2,諁
lu2,颅
liang3,两
lao2,劳
jie1,脻
xiang1,膷
yu2,揄
xiu1,咻
lin4,蔺
"li3,feng1",豊
ji1,譤
"zhen4,chen1",謓
chan3,諂
lu2,庐
liang4,辆
lao2,牢
"liang3,lang3",脼
"wei3,sui3",膸
an3,揞
yi1,咿
deng1,豋
jiao4,譥
xue4,謔
lu2,炉
liang4,量
lao3,老
shui2,脽
fen4,膹
xuan1,揎
pai4,哌
ti2,扌
e4,萼
ting2,莛
xi1,譆
xian2,諴
wu4,誤
zha4,詐
weng3,聬
sha4,翣
la4,腊
e5,呃
men2,扪
bao3,葆
qiao2,荞
zha1,譇
"nan4,nan2",諵
gao4,誥
"tuo2,duo4",詑
kui4,聭
li4,痢
la4,辣
"wen4,wan4",脕
bi3,吡
tuan2,抟
pa1,葩
fu2,茯
dui4,譈
chen2,諶
song4,誦
"yi2,dai4",詒
lian2,聮
li4,立
la1,啦
wen3,脗
bei5,呗
chen1,抻
ting2,葶
ren3,荏
zheng4,證
feng3,諷
bu1,誧
qu3,詓
lian2,聯
li4,粒
lai2,莱
xiu1,脙
guo1,呙
fu3,拊
lou2,蒌
xing4,荇
"xiao1,nao2",譊
zhu1,諸
hui4,誨
zhao4,詔
cong1,聰
li4,沥
lai2,来
jing4,脛
qin4,吣
pin1,拚
pai4,蒎
quan2,荃
lan2,譋
yang2,諹
jing4,誩
ping2,評
"sheng5,sheng1",聲
li4,隶
lai4,赖
you3,脜
yin3,吲
niu4,拗
xuan1,萱
hui4,荟
e2,譌
yan4,諺
"yue4,shui4",說
bi4,詖
song3,聳
li4,力
lan2,蓝
heng1,脝
za1,咂
jie2,拮
jia1,葭
xun2,荀
ying4,譍
huang2,諻
zhen4,誫
ting1,聴
li2,璃
lan2,婪
"luan2,lie4",脟
ka1,咔
zhen1,蓁
ming2,茗
jue2,譎
xuan1,諼
"yue4,shui4",説
"qu1,chu4",詘
kui4,聵
li3,哩
lan2,栏
"shan1,chan1",脠
jiao3,挢
ga1,呷
shi1,蓍
qi2,荠
ji1,譏
ge2,諽
"bo2,ba2",詙
nie4,聶
liang3,俩
lan2,拦
ting3,脡
za1,拶
"gu1,gua1",呱
ru4,蓐
jiao1,茭
zun3,譐
nuo4,諾
da2,詚
zhi2,職
lian2,联
lan2,篮
mei2,脢
yi4,挹
ling4,呤
mo4,蓦
chong1,茺
jiao3,譑
xu3,諿
chang4,誯
zu3,詛
dan1,聸
lian2,莲
lan2,阑
chun2,脣
lv3,捋
dong1,咚
en1,蒽
jiang1,茳
bo4,譒
mou2,謀
"shui2,shei2",誰
tao1,詜
ning2,聹
lian2,连
lan2,兰
shen4,脤
jun4,捃
ning2,咛
bei4,蓓
luo4,荦
hui4,譓
ye4,謁
jie2,誱
zhu3,詝
qie2,聺
lian2,镰
lan2,澜
"qian3,jia2",脥
tian4,掭
duo1,咄
weng3,蓊
ying2,荥
zhuan4,譔
wei4,謂
ke4,課
ci2,詞
"ni3,jian4",聻
lian2,廉
lan2,谰
ye2,揶
nao2,呶
hao1,蒿
"wu2,mo2",譕
xing1,謃
qu1,誳
ting1,聼
lian2,怜
lan5,揽
"zui1,juan1",脧
ai2,捱
you1,呦
fan2,蘩
dang4,菪
niao3,茑
shang3,垧
e4,諤
ting3,誔
"zi3,zi1",訿
qiu2,觩
jing1,聙
la1,翋
"wang3,gang1",罓
dai4,甙
nie4,蘖
jian1,菅
yin4,茚
nao3,垴
zhong4,諥
dan4,誕
"zhan4,che4",詀
xing1,觪
bi3,聛
"pi1,bi4",翍
kui4,馈
shi4,弑
mi2,蘼
"yu4,wan3",菀
mao2,茆
gai1,垓
"ti2,di4",諦
bei4,誖
gu3,詁
ni2,觬
di3,聜
"lu4,liu4",翏
kui4,愧
bu3,卟
gong3,廾
ying2,萦
ying2,茔
yin2,垠
xie2,諧
chan2,誗
fu4,詂
"qi3,ji1",觭
guo2,聝
zhi4,翐
kui4,溃
chi4,叱
yi4,弈
gu1,菰
qiong2,茕
cheng2,埕
fu2,諨
you4,誘
jian3,詃
lu4,觮
"wen4,wen2",聞
"yu4,qu2",翑
kun1,坤
ji1,叽
kuang3,夼
han4,菡
min2,苠
shi2,埘
pu3,諩
keng1,誙
die2,詄
"zha3,zha1",觰
xu4,聟
xi2,習
kun1,昆
kou4,叩
lian2,奁
qia1,葜
tiao2,苕
guo1,埚
ting2,諪
qiao4,誚
ling2,詅
bi4,觱
ping1,聠
xie2,翓
kun3,捆
"dao1,dao5",叨
da1,耷
"feng4,feng1",葑
qian4,茜
xun1,埙
jian4,諫
qin1,誛
"ti4,di3",詆
